 2.00288088e+00 3.65529357e+00 3.62845045e+00 3.13215887e+00 6.08425575e+00
 1.64495281e+00 3.85667233e+00 3.33262112e+00 3.47815001e+00 6.02671585e+00
 1.29488369e+00 4.06651703e+00 3.04884186e+00 3.81914578e+00 5.97977000e+00
 9.54554326e-01 4.28030947e+00 2.77877932e+00 4.15300101e+00 5.94150334e+00
 6.31907134e-01 4.49473791e+00 2.52338625e+00 4.47862746e+00 5.90980799e+00
 3.47461359e-01 4.70849653e+00 2.28661528e+00 4.79624286e+00 5.88528526e+00
 2.44519986e-01 4.91820602e+00 2.07126646e+00 5.10283386e+00 5.86506557e+00
 4.43627401e-01 5.12166209e+00 1.87785478e+00 5.39759522e+00 5.84872835e+00
 7.15650546e-01 5.31662547e+00 1.71181514e+00 5.68034256e+00 5.83408465e+00
 9.91499450e-01 5.50333329e+00 1.57483024e+00 5.94964229e+00 5.81989559e+00
 1.26176740e+00 5.67887524e+00 1.47060941e+00 6.20552151e+00 5.80533795e+00
 1.52213797e+00 5.84314232e+00 1.39736171e+00 6.44765573e+00 5.78661278e+00
 1.77046848e+00 5.99414801e+00 1.35733683e+00 6.67502942e+00 5.76547696e+00
 2.00792895e+00 6.13284931e+00 1.34532208e+00 6.88715295e+00 5.73851390e+00
 2.23312179e+00 6.25665879e+00 1.35722015e+00 7.08413952e+00 5.70410082e+00
 2.44614263e+00 6.36704771e+00 1.38764980e+00 7.26494797e+00 5.66363339e+00
 2.64768129e+00 6.46165781e+00 1.43211996e+00 7.43068242e+00 5.61405140e+00
 2.83693019e+00 6.54212157e+00 1.48419160e+00 7.58133588e+00 5.55529950e+00
 3.01499929e+00 6.60607626e+00 1.54135343e+00 7.71597296e+00 5.48715831e+00
 3.18258562e+00 6.65591039e+00 1.60153977e+00 7.83492711e+00 5.40850162e+00
 3.33813746e+00 6.69062993e+00 1.66170714e+00 7.93929646e+00 5.31880905e+00
 3.48484475e+00 6.71071010e+00 1.72145030e+00 8.02931608e+00 5.21897202e+00
 3.62192886e+00 6.71542993e+00 1.78107520e+00 8.10368496e+00 5.10658027e+00
 3.75145657e+00 6.70670523e+00 1.83942818e+00 8.16494729e+00 4.98379377e+00
 3.87183298e+00 6.68293155e+00 1.89728724e+00 8.21153676e+00 4.84966744e+00
 3.98610532e+00 6.64635245e+00 1.95589109e+00 8.24534855e+00 4.70438310e+00
 4.09320053e+00 6.59776503e+00 2.01605762e+00 8.26709722e+00 4.54774300e+00
 4.19579084e+00 6.53581747e+00 2.07887460e+00 8.27675808e+00 4.38110337e+00
 4.29342225e+00 6.46204061e+00 2.14481669e+00 8.27490545e+00 4.20407612e+00
 4.38724404e+00 6.37824799e+00 2.21652957e+00 8.26282617e+00 4.01739373e+00
 4.47946171e+00 6.28423597e+00 2.29261529e+00 8.24058883e+00 3.82173972e+00
 4.56848508e+00 6.18112878e+00 2.37593005e+00 8.20969129e+00 3.61645822e+00
 4.65587068e+00 6.06839186e+00 2.46641533e+00 8.16936108e+00 3.40401094e+00
 4.74271181e+00 5.94934346e+00 2.56378040e+00 8.12214071e+00 3.18361731e+00
 4.82967657e+00 5.82267335e+00 2.66892536e+00 8.06717707e+00 2.95749255e+00
 4.91588599e+00 5.69004944e+00 2.78202219e+00 8.00644150e+00 2.72479340e+00
 5.00274570e+00 5.55284502e+00 2.90135309e+00 7.94020844e+00 2.48674308e+00
 5.09051838e+00 5.41117546e+00 3.02904575e+00 7.86903913e+00 2.24464275e+00
